避難收容處所名稱,縣市及鄉鎮市區,緯度,經度,is_indoor,設施類型,最近AQI測站,測站縣市,最近測站AQI,距離測站(km),風險等級,風險描述,風險分數,模擬情境
五峰活動中心,新竹縣,24.386,121.073,True,室內設施,大園,苗栗市,26,31.75,Low Risk,風險較低,10,高AQI情境模擬
金門縣烈嶼鄉林湖村辦公處,金門縣烈嶼鄉,24.428328,118.248571,True,室內設施,馬祖,未知地區,84,6.46,Low Risk,風險較低,25,高AQI情境模擬
南坑村集會所暨南外社區活動中心,新竹縣北埔鄉,24.6725,121.0561,True,室內設施,中壢,新竹市,43,8.3,Low Risk,風險較低,0,高AQI情境模擬
霞雲社區活動中心,桃園市復興區,24.814018,121.406238,True,室內設施,永和,新北市,67,15.19,Low Risk,風險較低,30,高AQI情境模擬
澤仁里辦公處,桃園市復興區,24.820601,121.351987,True,室內設施,文山,桃園市,45,14.5,Low Risk,風險較低,5,高AQI情境模擬
奎輝里活動中心,桃園市復興區,24.797047,121.334302,True,室內設施,文山,桃園市,45,14.03,Low Risk,風險較低,5,高AQI情境模擬
高義教會,桃園市復興區,24.706112,121.354462,True,室內設施,文山,桃園市,45,22.41,Low Risk,風險較低,10,高AQI情境模擬
上大社區活動中心,桃園市觀音區,24.978234,121.147333,True,室內設施,南港,新北市,97,6.37,Low Risk,風險較低,25,高AQI情境模擬
武威社區活動中心,桃園市觀音區,25.028242,121.073317,True,室內設施,內湖,桃園市,48,1.26,Low Risk,風險較低,0,高AQI情境模擬
塔腳社區活動中心,桃園市觀音區,25.049298,121.154708,True,室內設施,士林,新北市,23,4.99,Low Risk,風險較低,0,高AQI情境模擬
廣福社區活動中心,桃園市觀音區,25.019018,121.153383,True,室內設施,士林,新北市,23,6.8,Low Risk,風險較低,0,高AQI情境模擬
草漯國民小學,桃園市觀音區,25.045941,121.142939,True,室內設施,內湖,桃園市,48,6.16,Low Risk,風險較低,0,高AQI情境模擬
上大國民小學,桃園市觀音區,24.979129,121.146755,True,室內設施,南港,新北市,97,6.47,Low Risk,風險較低,25,高AQI情境模擬
崙坪國民小學,桃園市觀音區,24.999596,121.162676,True,室內設施,南港,新北市,97,6.67,Low Risk,風險較低,25,高AQI情境模擬
富林國民小學,桃園市觀音區,25.062195,121.1285,True,室內設施,內湖,桃園市,48,5.47,Low Risk,風險較低,0,高AQI情境模擬
樹林國民小學,桃園市觀音區,25.062176,121.128468,True,室內設施,內湖,桃園市,48,5.47,Low Risk,風險較低,0,高AQI情境模擬
觀音區公所綠資源中心,桃園市觀音區,25.028281,121.083597,True,室內設施,內湖,桃園市,48,0.81,Low Risk,風險較低,0,高AQI情境模擬
高雄市前鎮區光華國民小學,高雄市前鎮區,22.615,120.32,True,室內設施,成功,高雄市,164,1.08,High Risk,最近測站 AQI 164 > 100,50,高AQI情境模擬
大武國小,臺東縣大武鄉,22.365009,120.905497,True,室內設施,新店,屏東市,94,28.58,Low Risk,風險較低,35,高AQI情境模擬
尖山國小操場,苗栗縣頭份市,24.64686,120.894048,False,戶外設施,楊梅,新竹市,43,5.58,Low Risk,風險較低,20,高AQI情境模擬
高雄市小港區鳳林國民小學,高雄市小港區,22.527,120.343,True,室內設施,楠梓,高雄市,169,4.35,High Risk,最近測站 AQI 169 > 100,50,高AQI情境模擬
大武社區活動中心,屏東縣霧臺鄉,22.757534,120.754782,True,室內設施,南投,未知地區,51,26.92,Low Risk,風險較低,35,高AQI情境模擬
和平國小,花蓮縣秀林鄉,24.308073,121.748879,True,室內設施,枋寮,未知地區,30,36.32,Low Risk,風險較低,10,高AQI情境模擬
佳義社區活動中心,屏東縣瑪家鄉,22.653475,120.630874,True,室內設施,小港,高雄市,154,14.82,High Risk,最近測站 AQI 154 > 100,55,高AQI情境模擬
中東社區活動中心,彰化縣員林市,23.971414,120.599689,True,室內設施,樹林,彰化市,74,3.87,Low Risk,風險較低,25,高AQI情境模擬
崇實高工體育館,彰化縣員林市,23.961057,120.574848,True,室內設施,樹林,彰化市,74,1.19,Low Risk,風險較低,25,高AQI情境模擬
東芳國小,彰化縣彰化市,24.062538,120.516345,True,室內設施,竹南,台中市,90,2.58,Low Risk,風險較低,25,高AQI情境模擬
三義社區活動中心,彰化縣員林市,23.95268,120.563531,True,室內設施,樹林,彰化市,74,0.99,Low Risk,風險較低,25,高AQI情境模擬
大同國中,彰化縣員林市,23.963213,120.579502,True,室內設施,樹林,彰化市,74,1.67,Low Risk,風險較低,25,高AQI情境模擬
員林農工體育館,彰化縣員林市,23.955187,120.581692,True,室內設施,樹林,彰化市,74,2.01,Low Risk,風險較低,25,高AQI情境模擬
員林市員東國小,彰化縣員林市,23.961879,120.587309,True,室內設施,樹林,彰化市,74,2.45,Low Risk,風險較低,25,高AQI情境模擬
員林市員林國中活動中心,彰化縣員林市,23.979184,120.557085,True,室內設施,樹林,彰化市,74,2.05,Low Risk,風險較低,25,高AQI情境模擬
員林市員林國小,彰化縣員林市,23.960059,120.57921,True,室內設施,樹林,彰化市,74,1.64,Low Risk,風險較低,25,高AQI情境模擬
健康公園,臺中市南區,24.119757,120.667553,False,戶外設施,八德,台中市,82,2.5,Warning,最近測站 AQI 82 > 50 且為戶外設施,45,高AQI情境模擬
屏東市信義國小,屏東縣屏東市,22.68523,120.49197,True,室內設施,小港,高雄市,154,1.41,High Risk,最近測站 AQI 154 > 100,50,高AQI情境模擬
光隆營區,臺中市太平區,24.1112,120.7305,True,室內設施,八德,台中市,82,5.44,Low Risk,風險較低,25,高AQI情境模擬
大快官藝文館,彰化縣彰化市,24.068651,120.613159,True,室內設施,竹南,台中市,90,7.28,Low Risk,風險較低,25,高AQI情境模擬
彰德國中勤學樓、育英樓穿堂,彰化縣彰化市,24.08054,120.589342,True,室內設施,竹南,台中市,90,5.12,Low Risk,風險較低,25,高AQI情境模擬
介壽社區活動中心,彰化縣彰化市,24.070873,120.551727,True,室內設施,竹南,台中市,90,1.17,Low Risk,風險較低,25,高AQI情境模擬
國聖國小,彰化縣彰化市,24.092292,120.568089,True,室內設施,竹南,台中市,90,3.98,Low Risk,風險較低,25,高AQI情境模擬
石牌國小,彰化縣彰化市,24.058558,120.614942,True,室內設施,竹南,台中市,90,7.5,Low Risk,風險較低,25,高AQI情境模擬
茄苳社區活動中心,彰化縣彰化市,24.10378,120.547944,True,室內設施,竹南,台中市,90,4.25,Low Risk,風險較低,25,高AQI情境模擬
三民國小,彰化縣彰化市,24.085743,120.604547,True,室內設施,竹南,台中市,90,6.76,Low Risk,風險較低,25,高AQI情境模擬
南北管戲曲音樂館,彰化縣彰化市,24.068206,120.529851,True,室內設施,竹南,台中市,90,1.21,Low Risk,風險較低,25,高AQI情境模擬
牛埔社區活動中心,彰化縣彰化市,24.081368,120.597531,True,室內設施,竹南,台中市,90,5.94,Low Risk,風險較低,25,高AQI情境模擬
桃源社區活動中心,彰化縣彰化市,24.072547,120.559047,True,室內設施,竹南,台中市,90,1.92,Low Risk,風險較低,25,高AQI情境模擬
南興社區活動中心,彰化縣彰化市,24.056604,120.533189,True,室內設施,竹南,台中市,90,1.34,Low Risk,風險較低,25,高AQI情境模擬
快官社區活動中心,彰化縣彰化市,24.068422,120.612013,True,室內設施,竹南,台中市,90,7.16,Low Risk,風險較低,25,高AQI情境模擬
福山社區活動中心,彰化縣彰化市,24.082668,120.571394,True,室內設施,竹南,台中市,90,3.55,Low Risk,風險較低,25,高AQI情境模擬
延和社區活動中心,彰化縣彰化市,24.059306,120.538252,True,室內設施,竹南,台中市,90,0.81,Low Risk,風險較低,25,高AQI情境模擬
泰和國小,彰化縣彰化市,24.092496,120.55168,True,室內設施,竹南,台中市,90,3.12,Low Risk,風險較低,25,高AQI情境模擬
彰興國中,彰化縣彰化市,24.059274,120.538251,True,室內設施,竹南,台中市,90,0.82,Low Risk,風險較低,25,高AQI情境模擬
信義國中小,彰化縣彰化市,24.062723,120.52814,True,室內設施,竹南,台中市,90,1.41,Low Risk,風險較低,25,高AQI情境模擬
雅溝社區活動中心,彰化縣和美鎮,24.099707,120.492521,True,室內設施,頭份,彰化市,45,4.28,Low Risk,風險較低,0,高AQI情境模擬
港口社區活動中心,屏東縣滿州鄉,21.9912,120.8271,False,戶外設施,大寮,未知地區,31,5.39,Low Risk,風險較低,20,高AQI情境模擬
恆春國中收容所,屏東縣恆春鎮,22.0031,120.7475,True,室內設施,大寮,未知地區,31,6.58,Low Risk,風險較低,0,高AQI情境模擬
恆春鎮公所,屏東縣恆春鎮,22.0038,120.7474,True,室內設施,大寮,未知地區,31,6.65,Low Risk,風險較低,0,高AQI情境模擬
永靖社區活動中心,屏東縣滿州鄉,22.0052,120.8092,True,室內設施,大寮,未知地區,31,5.64,Low Risk,風險較低,0,高AQI情境模擬
永港國民小學,屏東縣滿州鄉,22.005679,120.817377,True,室內設施,大寮,未知地區,31,6.05,Low Risk,風險較低,0,高AQI情境模擬
恒春國小收容所,屏東縣恆春鎮,22.0064,120.7466,True,室內設施,大寮,未知地區,31,6.92,Low Risk,風險較低,0,高AQI情境模擬
僑勇國小收容所,屏東縣恆春鎮,22.0087,120.7442,True,室內設施,大寮,未知地區,31,7.28,Low Risk,風險較低,0,高AQI情境模擬
滿州國民小學,屏東縣滿州鄉,22.020382,120.838101,True,室內設施,大寮,未知地區,31,8.59,Low Risk,風險較低,0,高AQI情境模擬
屏東縣滿州鄉公所,屏東縣滿州鄉,22.0209,120.8386,True,室內設施,大寮,未知地區,31,8.66,Low Risk,風險較低,0,高AQI情境模擬
滿州社區活動中心,屏東縣滿州鄉,22.0233,120.8371,True,室內設施,大寮,未知地區,31,8.79,Low Risk,風險較低,0,高AQI情境模擬
屏東縣滿州鄉圖書館,屏東縣滿州鄉,22.0243,120.8377,True,室內設施,大寮,未知地區,31,8.92,Low Risk,風險較低,0,高AQI情境模擬
滿州國民中學,屏東縣滿州鄉,22.024499,120.839695,True,室內設施,大寮,未知地區,31,9.05,Low Risk,風險較低,0,高AQI情境模擬
蘭恩活動中心,臺東縣蘭嶼鄉,22.026,121.539,True,室內設施,大寮,未知地區,31,77.7,Low Risk,風險較低,10,高AQI情境模擬
響林活動中心,屏東縣滿州鄉,22.0377,120.8335,True,室內設施,大寮,未知地區,31,9.98,Low Risk,風險較低,0,高AQI情境模擬
椰油國民小學,臺東縣蘭嶼鄉,22.0453,121.5176,True,室內設施,大寮,未知地區,31,75.75,Low Risk,風險較低,10,高AQI情境模擬
蘭嶼完全高級中學,臺東縣蘭嶼鄉,22.0494,121.5126,True,室內設施,大寮,未知地區,31,75.3,Low Risk,風險較低,10,高AQI情境模擬
屏東縣立車城國小保力分校,屏東縣車城鄉,22.0561,120.7275,True,室內設施,大寮,未知地區,31,12.61,Low Risk,風險較低,5,高AQI情境模擬
屏東縣立車城國小射寮分校,屏東縣車城鄉,22.0567,120.7118,True,室內設施,大寮,未知地區,31,13.55,Low Risk,風險較低,5,高AQI情境模擬
屏東縣立車城國中,屏東縣車城鄉,22.0729,120.7165,True,室內設施,大寮,未知地區,31,14.79,Low Risk,風險較低,5,高AQI情境模擬
高士國小牡林分校,屏東縣牡丹鄉,22.0731,120.8139,True,室內設施,大寮,未知地區,31,13.05,Low Risk,風險較低,5,高AQI情境模擬
長樂村長壽俱樂部,屏東縣滿州鄉,22.0742,120.8258,True,室內設施,大寮,未知地區,31,13.46,Low Risk,風險較低,5,高AQI情境模擬
屏東縣立車城國小,屏東縣車城鄉,22.0749,120.7146,True,室內設施,大寮,未知地區,31,15.08,Low Risk,風險較低,5,高AQI情境模擬
長樂國小,屏東縣滿州鄉,22.0755,120.8286,True,室內設施,大寮,未知地區,31,13.68,Low Risk,風險較低,5,高AQI情境模擬
車城福安宮香客大樓,屏東縣車城鄉,22.0766,120.7119,True,室內設施,大寮,未知地區,31,15.39,Low Risk,風險較低,5,高AQI情境模擬
朗島國小,臺東縣蘭嶼鄉,22.0792,121.5286,True,室內設施,大寮,未知地區,31,77.43,Low Risk,風險較低,10,高AQI情境模擬
屏東縣立車城國小溫泉分校,屏東縣車城鄉,22.096,120.7487,True,室內設施,大寮,未知地區,31,15.89,Low Risk,風險較低,5,高AQI情境模擬
九棚永久屋大愛基地活動中心,屏東縣滿州鄉,22.111079,120.87378,True,室內設施,大寮,未知地區,31,19.13,Low Risk,風險較低,5,高AQI情境模擬
高士國小,屏東縣牡丹鄉,22.1248,120.847,True,室內設施,大寮,未知地區,31,19.48,Low Risk,風險較低,5,高AQI情境模擬
石門村活動中心,屏東縣牡丹鄉,22.1254,120.774,True,室內設施,大寮,未知地區,31,18.67,Low Risk,風險較低,5,高AQI情境模擬
港仔活動中心,屏東縣滿州鄉,22.1334,120.8815,True,室內設施,大寮,未知地區,31,21.71,Low Risk,風險較低,10,高AQI情境模擬
竹坑活動中心,屏東縣獅子鄉,22.1454,120.7012,True,室內設施,新店,屏東市,94,13.83,Low Risk,風險較低,30,高AQI情境模擬
牡丹國小,屏東縣牡丹鄉,22.1766,120.8377,True,室內設施,新店,屏東市,94,21.34,Low Risk,風險較低,35,高AQI情境模擬
楓港國民小學,屏東縣枋山鄉,22.1902,120.6922,True,室內設施,新店,屏東市,94,8.91,Low Risk,風險較低,25,高AQI情境模擬
旭海村活動中心,屏東縣牡丹鄉,22.1917,120.8786,True,室內設施,新店,屏東市,94,24.61,Low Risk,風險較低,35,高AQI情境模擬
楓港老人文康中心,屏東縣枋山鄉,22.193,120.6895,True,室內設施,新店,屏東市,94,8.5,Low Risk,風險較低,25,高AQI情境模擬
楓林國小,屏東縣獅子鄉,22.2022,120.7038,True,室內設施,新店,屏東市,94,8.46,Low Risk,風險較低,25,高AQI情境模擬
丹路國小,屏東縣獅子鄉,22.2034,120.7515,True,室內設施,新店,屏東市,94,12.12,Low Risk,風險較低,30,高AQI情境模擬
獅子鄉立綜合體育館,屏東縣獅子鄉,22.2051,120.7014,True,室內設施,新店,屏東市,94,8.06,Low Risk,風險較低,25,高AQI情境模擬
東源村活動中心,屏東縣牡丹鄉,22.2052,120.851,True,室內設施,新店,屏東市,94,21.45,Low Risk,風險較低,35,高AQI情境模擬
內文活動中心,屏東縣獅子鄉,22.2183,120.8507,True,室內設施,新店,屏東市,94,21.05,Low Risk,風險較低,35,高AQI情境模擬
獅子活動中心,屏東縣獅子鄉,22.2323,120.6805,True,室內設施,新店,屏東市,94,4.36,Low Risk,風險較低,25,高AQI情境模擬
草埔活動中心,屏東縣獅子鄉,22.2341,120.8014,True,室內設施,新店,屏東市,94,15.72,Low Risk,風險較低,30,高AQI情境模擬
枋山鄉公所,屏東縣枋山鄉,22.26396799,120.6524235,True,室內設施,新店,屏東市,94,0.36,Low Risk,風險較低,25,高AQI情境模擬
枋寮高中正成分校,屏東縣枋山鄉,22.2643,120.6606,True,室內設施,新店,屏東市,94,1.01,Low Risk,風險較低,25,高AQI情境模擬
南田基督教會,臺東縣達仁鄉,22.276682,120.890256,True,室內設施,新店,屏東市,94,24.63,Low Risk,風險較低,35,高AQI情境模擬
森永活動中心,臺東縣達仁鄉,22.280641,120.864826,True,室內設施,新店,屏東市,94,22.06,Low Risk,風險較低,35,高AQI情境模擬
南田活動中心,臺東縣達仁鄉,22.286514,120.888972,True,室內設施,新店,屏東市,94,24.6,Low Risk,風險較低,35,高AQI情境模擬
安朔基督教會,臺東縣達仁鄉,22.292996,120.866016,True,室內設施,新店,屏東市,94,22.36,Low Risk,風險較低,35,高AQI情境模擬
安朔集會所,臺東縣達仁鄉,22.293497,120.867753,True,室內設施,新店,屏東市,94,22.55,Low Risk,風險較低,35,高AQI情境模擬
安朔國小,臺東縣達仁鄉,22.294292,120.868276,True,室內設施,新店,屏東市,94,22.61,Low Risk,風險較低,35,高AQI情境模擬
達仁鄉公所禮堂,臺東縣達仁鄉,22.297005,120.883062,True,室內設施,新店,屏東市,94,24.17,Low Risk,風險較低,35,高AQI情境模擬
內獅國小,屏東縣獅子鄉,22.3052,120.6427,True,室內設施,新店,屏東市,94,5.01,Low Risk,風險較低,25,高AQI情境模擬
南興村社區活動中心,臺東縣大武鄉,22.3104,120.8867,True,室內設施,新店,屏東市,94,24.82,Low Risk,風險較低,35,高AQI情境模擬
南福社區活動中心,屏東縣琉球鄉,22.3284,120.3634,True,室內設施,中和,未知地區,174,3.01,High Risk,最近測站 AQI 174 > 100,50,高AQI情境模擬
加祿國民小學,屏東縣枋山鄉,22.3302,120.6211,True,室內設施,新店,屏東市,94,8.32,Low Risk,風險較低,25,高AQI情境模擬
大福社區活動中心,屏東縣琉球鄉,22.3338,120.3708,True,室內設施,中和,未知地區,174,2.15,High Risk,最近測站 AQI 174 > 100,50,高AQI情境模擬
琉球國中,屏東縣琉球鄉,22.336,120.3685,True,室內設施,中和,未知地區,174,2.01,High Risk,最近測站 AQI 174 > 100,50,高AQI情境模擬
琉球國小,屏東縣琉球鄉,22.3371,120.3683,True,室內設施,中和,未知地區,174,1.92,High Risk,最近測站 AQI 174 > 100,50,高AQI情境模擬
尚武村社區活動中心,臺東縣大武鄉,22.342,120.8818,True,室內設施,新店,屏東市,94,25.35,Low Risk,風險較低,35,高AQI情境模擬
大武鄉立托兒所,臺東縣大武鄉,22.3425,120.8806,True,室內設施,新店,屏東市,94,25.26,Low Risk,風險較低,35,高AQI情境模擬
全德國小,屏東縣琉球鄉,22.3462,120.3692,True,室內設施,中和,未知地區,174,1.06,High Risk,最近測站 AQI 174 > 100,50,高AQI情境模擬
琉球鄉公所,屏東縣琉球鄉,22.3501,120.3837,True,室內設施,中和,未知地區,174,0.71,High Risk,最近測站 AQI 174 > 100,50,高AQI情境模擬
老人文康活動中心,屏東縣枋寮鄉,22.3562,120.5997,True,室內設施,新店,屏東市,94,11.86,Low Risk,風險較低,30,高AQI情境模擬
大武老人會館,臺東縣大武鄉,22.3564,120.9038,True,室內設施,新店,屏東市,94,28.05,Low Risk,風險較低,35,高AQI情境模擬
大武鄉多功能綜合活動中心暨避難收容所,臺東縣大武鄉,22.3581,120.9064,True,室內設施,新店,屏東市,94,28.36,Low Risk,風險較低,35,高AQI情境模擬
古華社區活動中心,屏東縣春日鄉,22.3596,120.6281,True,室內設施,新店,屏東市,94,11.24,Low Risk,風險較低,30,高AQI情境模擬
大武村社區活動中心,臺東縣大武鄉,22.3596,120.8975,True,室內設施,新店,屏東市,94,27.59,Low Risk,風險較低,35,高AQI情境模擬
古華國民小學,屏東縣春日鄉,22.361,120.626,True,室內設施,新店,屏東市,94,11.43,Low Risk,風險較低,30,高AQI情境模擬
僑德國小,屏東縣枋寮鄉,22.3631,120.6,True,室內設施,新店,屏東市,94,12.54,Low Risk,風險較低,30,高AQI情境模擬
枋寮國小,屏東縣枋寮鄉,22.3678,120.5908,True,室內設施,新店,屏東市,94,13.43,Low Risk,風險較低,30,高AQI情境模擬
士文聚會所,屏東縣春日鄉,22.3685,120.6639,True,室內設施,新店,屏東市,94,12.03,Low Risk,風險較低,30,高AQI情境模擬
古華國民小學-士文分校,屏東縣春日鄉,22.3689,120.6635,True,室內設施,新店,屏東市,94,12.07,Low Risk,風險較低,30,高AQI情境模擬
春日社區活動中心,屏東縣春日鄉,22.3703,120.6243,True,室內設施,新店,屏東市,94,12.48,Low Risk,風險較低,30,高AQI情境模擬
春日國民小學,屏東縣春日鄉,22.3703,120.627,True,室內設施,新店,屏東市,94,12.42,Low Risk,風險較低,30,高AQI情境模擬
枋寮高中,屏東縣枋寮鄉,22.3711,120.5908,True,室內設施,新店,屏東市,94,13.75,Low Risk,風險較低,30,高AQI情境模擬
臺東縣立安朔國小新化分校,臺東縣達仁鄉,22.381551,120.856773,True,室內設施,新店,屏東市,94,25.02,Low Risk,風險較低,35,高AQI情境模擬
建興國小,屏東縣枋寮鄉,22.387,120.6019,True,室內設施,新店,屏東市,94,14.92,Low Risk,風險較低,30,高AQI情境模擬
東海國小,屏東縣枋寮鄉,22.4013,120.5773,True,室內設施,林園,高雄市,153,13.65,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
東海國小太源分校,屏東縣枋寮鄉,22.4082,120.593,True,室內設施,林園,高雄市,153,13.19,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
國立佳冬高農,屏東縣佳冬鄉,22.409,120.5584,True,室內設施,林園,高雄市,153,12.69,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
加津林活動中心,臺東縣大武鄉,22.4162,120.9223,True,室內設施,新店,屏東市,94,32.77,Low Risk,風險較低,35,高AQI情境模擬
佳冬鄉立幼兒園,屏東縣佳冬鄉,22.423,120.5669,True,室內設施,林園,高雄市,153,11.15,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
力里國民小學,屏東縣春日鄉,22.4277,120.629,True,室內設施,林園,高雄市,153,12.69,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
春日鄉立老人文康中心,屏東縣春日鄉,22.428,120.6279,True,室內設施,林園,高雄市,153,12.6,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
佳冬國中,屏東縣佳冬鄉,22.4285,120.5668,True,室內設施,林園,高雄市,153,10.54,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
屏東縣林邊鄉崎峰活動中心,屏東縣林邊鄉,22.4298,120.4902,True,室內設施,台南,高雄市,155,9.77,High Risk,最近測站 AQI 155 > 100,50,高AQI情境模擬
來義鄉文物館,屏東縣來義鄉,22.435,120.6379,True,室內設施,林園,高雄市,153,12.57,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
南和國小,屏東縣來義鄉,22.4364,120.6426,True,室內設施,林園,高雄市,153,12.77,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
屏東縣林邊鄉仁和國民小學,屏東縣林邊鄉,22.4374,120.5114,True,室內設施,林園,高雄市,153,10.82,High Risk,最近測站 AQI 153 > 100,55,高AQI情境模擬
土?天主堂,臺東縣達仁鄉,22.453848,120.886914,True,室內設施,新店,屏東市,94,32.35,Low Risk,風險較低,35,高AQI情境模擬
