SiteName,County,AQI,PM25,lat,lon,Color
基隆,基隆市,45,12.6,25.129167,121.760056,#00E400
台北,台北市,65,18.2,25.033,121.5654,#FFFF00
新北,新北市,58,16.2,25.0173,121.4625,#00E400
桃園,桃園市,72,20.2,24.9936,121.301,#FFFF00
新竹,新竹市,48,13.4,24.8138,120.9675,#00E400
竹南,苗栗縣,52,14.6,24.5646,120.8214,#00E400
台中,台中市,85,23.8,24.1477,120.6736,#FFFF00
彰化,彰化市,68,19,24.0771,120.5428,#FFFF00
南投,南投市,55,15.4,23.9096,120.6838,#00E400
雲林,雲林市,62,17.4,23.699,120.4329,#FFFF00
嘉義,嘉義市,74,20.7,23.4801,120.4491,#FFFF00
台南,台南市,67,18.8,22.9999,120.2269,#FFFF00
高雄,高雄市,125,35,22.6273,120.3014,#FF0000
屏東,屏東市,56,15.7,22.6697,120.4859,#00E400
宜蘭,宜蘭市,38,10.6,24.6929,121.7216,#00E400
花蓮,花蓮市,35,9.8,23.9759,121.6034,#00E400
台東,台東市,42,11.8,22.7553,121.1506,#00E400
澎湖,澎湖縣,40,11.2,23.5697,119.5665,#00E400
金門,金門縣,48,13.4,24.433,118.3222,#00E400
馬祖,連江縣,32,9,26.1616,119.9368,#00E400
板橋,新北市,61,16.8,25.012972,121.458667,#00E400
三重,新北市,59,16.5,25.06895,121.481028,#00E400
中和,新北市,64,17.9,25.07798949,121.3654898,#FFFF00
永和,新北市,57,15.9,25.1645,121.449239,#00E400
新莊,新北市,66,18.4,25.10334003,121.5166636,#FFFF00
土城,新北市,63,17.6,25.062361,121.526528,#FFFF00
蘆洲,新北市,60,16.9,25.046503,121.507972,#00E400
樹林,新北市,55,15.3,25.020608,121.529556,#00E400
三峽,新北市,54,15.1,25.05,121.578611,#00E400
淡水,新北市,52,14.8,25.06331455,121.5134207,#00E400
汐止,新北市,58,16.2,24.9947107,121.3050053,#00E400
瑞芳,新北市,49,13.7,25.06100357,121.2025147,#00E400
五股,新北市,51,14.2,25.03556747,121.0828309,#00E400
泰山,新北市,53,14.9,24.952786,121.203986,#FFFF00
林口,新北市,56,15.7,25.078056,121.318889,#00E400
深坑,新北市,47,13.1,25.023056,121.580278,#00E400
石碇,新北市,45,12.6,25.019722,121.615833,#00E400
坪林,新北市,43,12,25.023889,121.712778,#00E400
三芝,新北市,44,12.3,25.258611,121.502778,#00E400
石門,新北市,42,11.8,25.291389,121.537222,#00E400
八里,新北市,46,12.8,25.158889,121.401111,#00E400
平溪,新北市,41,11.5,25.040833,121.754722,#00E400
雙溪,新北市,40,11.2,25.041111,121.830556,#00E400
貢寮,新北市,39,11,25.048056,121.878333,#00E400
金山,新北市,43,12,25.221667,121.639444,#00E400
萬里,新北市,42,11.8,25.181111,121.690278,#00E400
烏來,新北市,38,10.6,24.665833,121.555278,#00E400
中壢,桃園市,71,19.8,24.953611,121.224444,#FFFF00
平鎮,桃園市,69,19.2,24.833333,121.216667,#FFFF00
龍潭,桃園市,67,18.6,24.833333,121.233333,#FFFF00
楊梅,桃園市,65,18.1,24.916667,121.133333,#FFFF00
新屋,桃園市,63,17.6,24.983333,121.066667,#FFFF00
觀音,桃園市,61,16.9,24.933333,121.083333,#00E400
桃園,桃園市,72,20.2,24.993611,121.301111,#FFFF00
龜山,桃園市,70,19.5,25.016667,121.333333,#FFFF00
八德,桃園市,68,18.9,24.95,121.283333,#FFFF00
大溪,桃園市,66,18.4,24.883333,121.283333,#FFFF00
復興,桃園市,64,17.8,24.683333,121.333333,#FFFF00
大園,桃園市,62,17.3,25.066667,121.183333,#FFFF00
蘆竹,桃園市,60,16.7,25.083333,121.216667,#00E400
竹南,苗栗縣,52,14.6,24.564444,120.821389,#00E400
頭份,苗栗縣,54,15.1,24.683333,120.916667,#00E400
苗栗,苗栗縣,56,15.7,24.533333,120.816667,#00E400
通霄,苗栗縣,58,16.2,24.483333,120.683333,#00E400
苑裡,苗栗縣,60,16.7,24.433333,120.683333,#00E400
卓蘭,苗栗縣,62,17.3,24.416667,120.883333,#FFFF00
大甲,苗栗縣,64,17.8,24.35,120.633333,#FFFF00
外埔,苗栗縣,66,18.4,24.333333,120.583333,#FFFF00
清水,苗栗縣,68,18.9,24.25,120.566667,#FFFF00
沙鹿,苗栗縣,70,19.5,24.233333,120.566667,#FFFF00
梧棲,苗栗縣,72,20.2,24.233333,120.533333,#FFFF00
后里,苗栗縣,74,20.7,24.133333,120.716667,#FFFF00
豐原,苗栗縣,76,21.3,24.25,120.716667,#FF0000
神岡,苗栗縣,78,21.8,24.283333,120.666667,#FF0000
大雅,苗栗縣,80,22.4,24.233333,120.65,#FF0000
潭子,苗栗縣,82,23,24.216667,120.7,#FF0000
太平,苗栗縣,84,23.6,24.133333,120.733333,#FF0000
大里,苗栗縣,86,24.2,24.1,120.683333,#FF0000
烏日,苗栗縣,88,24.8,24.1,120.616667,#FF0000
彰化,彰化市,68,19,24.077222,120.542778,#FFFF00
員林,彰化縣,70,19.5,24.05,120.566667,#FFFF00
溪湖,彰化縣,72,20.2,23.883333,120.5,#FFFF00
田中,彰化縣,74,20.7,23.866667,120.583333,#FFFF00
二林,彰化縣,76,21.3,23.883333,120.416667,#FF0000
北斗,彰化縣,78,21.8,23.866667,120.516667,#FF0000
花壇,彰化縣,80,22.4,24.033333,120.6,#FF0000
大村,彰化縣,82,23,24.05,120.566667,#FF0000
