類型,行號,緯度,經度,位置描述,距離本島
離島,1. 第 2 行: 座標 (24.428328, 118.248571) 在台灣範圍外,24.428328,118.248571,金門地區,268.2公里
離島,11. 第 17 行: 座標 (26.0, 121.051297) 在台灣範圍外,26.000000,121.051297,釣魚台地區,245.9公里
離島,42. 第 2040 行: 座標 (23.5665, 119.5724) 在台灣範圍外,23.566500,119.572400,澎湖地區,127.7公里
離島,43. 第 2045 行: 座標 (23.568, 119.5658) 在台灣範圍外,23.568000,119.565800,澎湖地區,128.3公里
離島,44. 第 2048 行: 座標 (23.5702, 119.581) 在台灣範圍外,23.570200,119.581000,澎湖地區,126.7公里
離島,45. 第 2049 行: 座標 (23.5704, 119.5665) 在台灣範圍外,23.570400,119.566500,澎湖地區,128.2公里
離島,46. 第 2051 行: 座標 (23.5715, 119.5805) 在台灣範圍外,23.571500,119.580500,澎湖地區,126.8公里
離島,47. 第 2052 行: 座標 (23.5725, 119.569) 在台灣範圍外,23.572500,119.569000,澎湖地區,127.9公里
離島,48. 第 2056 行: 座標 (23.5736, 119.5697) 在台灣範圍外,23.573600,119.569700,澎湖地區,127.8公里
離島,49. 第 2057 行: 座標 (23.5739, 119.5817) 在台灣範圍外,23.573900,119.581700,澎湖地區,126.6公里
離島,50. 第 2058 行: 座標 (23.5739, 119.6496) 在台灣範圍外,23.573900,119.649600,澎湖地區,119.8公里
離島,51. 第 2063 行: 座標 (23.5749, 119.5746) 在台灣範圍外,23.574900,119.574600,澎湖地區,127.3公里
離島,52. 第 2078 行: 座標 (23.5784, 119.5737) 在台灣範圍外,23.578400,119.573700,澎湖地區,127.3公里
離島,53. 第 2082 行: 座標 (23.5799, 119.5811) 在台灣範圍外,23.579900,119.581100,澎湖地區,126.5公里
離島,54. 第 2084 行: 座標 (23.5817, 119.6626) 在台灣範圍外,23.581700,119.662600,澎湖地區,118.3公里
離島,55. 第 2088 行: 座標 (23.5828, 119.6419) 在台灣範圍外,23.582800,119.641900,澎湖地區,120.4公里
離島,56. 第 2090 行: 座標 (23.5834, 119.5719) 在台灣範圍外,23.583400,119.571900,澎湖地區,127.3公里
離島,57. 第 2091 行: 座標 (23.584, 119.6202) 在台灣範圍外,23.584000,119.620200,澎湖地區,122.5公里
離島,58. 第 2092 行: 座標 (23.584, 119.6526) 在台灣範圍外,23.584000,119.652600,澎湖地區,119.3公里
離島,59. 第 2093 行: 座標 (23.5846, 119.6537) 在台灣範圍外,23.584600,119.653700,澎湖地區,119.2公里
離島,60. 第 2095 行: 座標 (23.5854, 119.669) 在台灣範圍外,23.585400,119.669000,澎湖地區,117.6公里
離島,61. 第 2099 行: 座標 (23.5872, 119.6425) 在台灣範圍外,23.587200,119.642500,澎湖地區,120.2公里
離島,62. 第 2111 行: 座標 (23.5945, 119.6082) 在台灣範圍外,23.594500,119.608200,澎湖地區,123.5公里
離島,63. 第 2112 行: 座標 (23.5951, 119.6164) 在台灣範圍外,23.595100,119.616400,澎湖地區,122.6公里
離島,64. 第 2116 行: 座標 (23.5975, 119.6139) 在台灣範圍外,23.597500,119.613900,澎湖地區,122.8公里
離島,65. 第 2119 行: 座標 (23.5985, 119.6692) 在台灣範圍外,23.598500,119.669200,澎湖地區,117.3公里
離島,66. 第 2128 行: 座標 (23.6003, 119.6697) 在台灣範圍外,23.600300,119.669700,澎湖地區,117.2公里
離島,67. 第 2166 行: 座標 (23.626177, 119.595268) 在台灣範圍外,23.626177,119.595268,澎湖地區,124.2公里
離島,68. 第 2175 行: 座標 (23.6315, 119.5228) 在台灣範圍外,23.631500,119.522800,澎湖地區,131.4公里
離島,69. 第 2178 行: 座標 (23.6324, 119.5137) 在台灣範圍外,23.632400,119.513700,澎湖地區,132.3公里
離島,70. 第 2181 行: 座標 (23.6348, 119.5222) 在台灣範圍外,23.634800,119.522200,澎湖地區,131.4公里
離島,71. 第 2183 行: 座標 (23.6358, 119.5246) 在台灣範圍外,23.635800,119.524600,澎湖地區,131.1公里
離島,72. 第 2192 行: 座標 (23.6382, 119.5312) 在台灣範圍外,23.638200,119.531200,澎湖地區,130.4公里
離島,73. 第 2193 行: 座標 (23.6388, 119.5313) 在台灣範圍外,23.638800,119.531300,澎湖地區,130.4公里
離島,74. 第 2205 行: 座標 (23.6429, 119.5163) 在台灣範圍外,23.642900,119.516300,澎湖地區,131.8公里
離島,75. 第 2215 行: 座標 (23.648238, 119.59875) 在台灣範圍外,23.648238,119.598750,澎湖地區,123.4公里
離島,76. 第 2222 行: 座標 (23.6527, 119.5174) 在台灣範圍外,23.652700,119.517400,澎湖地區,131.6公里
離島,77. 第 2224 行: 座標 (23.6541, 119.5166) 在台灣範圍外,23.654100,119.516600,澎湖地區,131.6公里
離島,79. 第 3082 行: 座標 (24.0, 118.0) 在台灣範圍外,24.000000,118.000000,金門地區,285.5公里
離島,80. 第 3752 行: 座標 (24.274, 118.271) 在台灣範圍外,24.274000,118.271000,金門地區,262.2公里
離島,81. 第 3762 行: 座標 (24.282, 118.24) 在台灣範圍外,24.282000,118.240000,金門地區,265.4公里
離島,82. 第 3763 行: 座標 (24.282, 118.245) 在台灣範圍外,24.282000,118.245000,金門地區,264.9公里
離島,83. 第 3764 行: 座標 (24.284, 118.232) 在台灣範圍外,24.284000,118.232000,金門地區,266.3公里
離島,84. 第 3765 行: 座標 (24.284, 118.253) 在台灣範圍外,24.284000,118.253000,金門地區,264.2公里
離島,85. 第 3769 行: 座標 (24.291, 118.245) 在台灣範圍外,24.291000,118.245000,金門地區,265.1公里
離島,86. 第 3779 行: 座標 (24.303, 118.242) 在台灣範圍外,24.303000,118.242000,金門地區,265.7公里
離島,87. 第 3794 行: 座標 (24.311, 118.245) 在台灣範圍外,24.311000,118.245000,金門地區,265.6公里
離島,88. 第 3852 行: 座標 (24.40212, 118.305944) 在台灣範圍外,24.402120,118.305944,金門地區,261.8公里
離島,89. 第 3853 行: 座標 (24.40212, 118.305944) 在台灣範圍外,24.402120,118.305944,金門地區,261.8公里
離島,90. 第 3855 行: 座標 (24.412637, 118.295323) 在台灣範圍外,24.412637,118.295323,金門地區,263.2公里
離島,91. 第 3856 行: 座標 (24.414884, 118.32855) 在台灣範圍外,24.414884,118.328550,金門地區,260.0公里
離島,92. 第 3857 行: 座標 (24.4154, 118.226) 在台灣範圍外,24.415400,118.226000,金門地區,270.1公里
離島,93. 第 3858 行: 座標 (24.416677, 118.436256) 在台灣範圍外,24.416677,118.436256,金門地區,249.5公里
離島,94. 第 3859 行: 座標 (24.417848, 118.30989) 在台灣範圍外,24.417848,118.309890,金門地區,261.9公里
離島,95. 第 3870 行: 座標 (24.42601, 118.445281) 在台灣範圍外,24.426010,118.445281,金門地區,248.9公里
離島,96. 第 3873 行: 座標 (24.4279, 118.2322) 在台灣範圍外,24.427900,118.232200,金門地區,269.8公里
離島,97. 第 3874 行: 座標 (24.429, 118.2429) 在台灣範圍外,24.429000,118.242900,金門地區,268.8公里
離島,98. 第 3877 行: 座標 (24.42986, 118.315222) 在台灣範圍外,24.429860,118.315222,金門地區,261.7公里
離島,99. 第 3878 行: 座標 (24.432741, 118.320608) 在台灣範圍外,24.432741,118.320608,金門地區,261.3公里
離島,100. 第 3879 行: 座標 (24.435134, 118.331873) 在台灣範圍外,24.435134,118.331873,金門地區,260.2公里
離島,101. 第 3880 行: 座標 (24.4353, 118.2383) 在台灣範圍外,24.435300,118.238300,金門地區,269.4公里
離島,102. 第 3881 行: 座標 (24.435813, 118.414545) 在台灣範圍外,24.435813,118.414545,金門地區,252.2公里
離島,103. 第 3883 行: 座標 (24.439013, 118.390023) 在台灣範圍外,24.439013,118.390023,金門地區,254.7公里
離島,104. 第 3884 行: 座標 (24.441506, 118.416876) 在台灣範圍外,24.441506,118.416876,金門地區,252.1公里
離島,105. 第 3885 行: 座標 (24.441569, 118.416754) 在台灣範圍外,24.441569,118.416754,金門地區,252.2公里
離島,106. 第 3886 行: 座標 (24.442463, 118.460286) 在台灣範圍外,24.442463,118.460286,金門地區,248.0公里
離島,107. 第 3887 行: 座標 (24.443575, 118.414691) 在台灣範圍外,24.443575,118.414691,金門地區,252.4公里
離島,108. 第 3890 行: 座標 (24.4467, 118.2518) 在台灣範圍外,24.446700,118.251800,金門地區,268.4公里
離島,109. 第 3894 行: 座標 (24.449053, 118.340234) 在台灣範圍外,24.449053,118.340234,金門地區,259.8公里
離島,110. 第 3895 行: 座標 (24.450889, 118.354268) 在台灣範圍外,24.450889,118.354268,金門地區,258.5公里
離島,111. 第 3896 行: 座標 (24.4509, 118.3349) 在台灣範圍外,24.450900,118.334900,金門地區,260.4公里
離島,112. 第 3897 行: 座標 (24.455146, 118.372922) 在台灣範圍外,24.455146,118.372922,金門地區,256.8公里
