SiteName,County,AQI,PM25,lat,lon,Color
測站1,未知,0,0,25.129167,121.760056,#00E400
測站2,未知,0,0,25.06624,121.64081,#00E400
測站3,未知,0,0,24.977222,121.537778,#00E400
測站4,未知,0,0,24.982528,121.451861,#00E400
測站5,未知,0,0,25.012972,121.458667,#00E400
測站6,未知,0,0,25.037972,121.4325,#00E400
測站7,未知,0,0,25.06895,121.481028,#00E400
測站8,未知,0,0,25.07798949,121.36548982,#00E400
測站9,未知,0,0,25.1645,121.449239,#00E400
測站10,未知,0,0,25.10334003,121.51666356,#00E400
測站11,未知,0,0,25.062361,121.526528,#00E400
測站12,未知,0,0,25.046503,121.507972,#00E400
測站13,未知,0,0,25.020608,121.529556,#00E400
測站14,未知,0,0,25.05,121.578611,#00E400
測站15,未知,0,0,25.06331455,121.51342074,#FFFF00
測站16,未知,0,0,24.9947107,121.30500531,#00E400
測站17,未知,0,0,25.06100357,121.20251473,#00E400
測站18,未知,0,0,25.03556747,121.08283092,#00E400
測站19,未知,0,0,24.952786,121.203986,#FFFF00
測站20,未知,0,0,24.86400048,121.21645772,#00E400
測站21,未知,0,0,24.90009696,121.03886894,#00E400
測站22,未知,0,0,24.74091408,121.08895493,#00E400
測站23,未知,0,0,24.8056356,120.97236752,#00E400
測站24,未知,0,0,24.69690679,120.89869286,#00E400
測站25,未知,0,0,24.56499183,120.82011468,#00E400
測站26,未知,0,0,24.38248443,120.75956754,#00E400
測站27,未知,0,0,24.25699731,120.74252414,#00E400
測站28,未知,0,0,24.225628,120.568794,#00E400
測站29,未知,0,0,24.09961111,120.67844444,#FFFF00
測站30,未知,0,0,24.151958,120.641092,#FFFF00
測站31,未知,0,0,24.162197,120.616917,#00E400
測站32,未知,0,0,24.066,120.541519,#FFFF00
測站33,未知,0,0,24.131672,120.469061,#00E400
測站34,未知,0,0,23.925175,120.409653,#FFFF00
測站35,未知,0,0,23.913,120.685306,#FFFF00
測站36,未知,0,0,23.711853,120.544994,#FF0000
測站37,未知,0,0,23.757547,120.348742,#FFFF00
測站38,未知,0,0,23.554839,120.345531,#FFFF00
測站39,未知,0,0,23.46538,120.2478,#FFFF00
測站40,未知,0,0,23.702175,120.19933333,#00E400
測站41,未知,0,0,23.46477865,120.44125148,#FFFF00
測站42,未知,0,0,23.305633,120.31725,#FFFF00
測站43,未知,0,0,23.11337642,120.29740529,#FFFF00
測站44,未知,0,0,23.048197,120.2175,#FFFF00
測站45,未知,0,0,22.98928311,120.21947897,#FFFF00
測站46,未知,0,0,22.883583,120.530542,#FFFF00
測站47,未知,0,0,22.757506,120.305689,#FF0000
測站48,未知,0,0,22.689056,120.332631,#FF0000
測站49,未知,0,0,22.628126,120.357422,#FF0000
測站50,未知,0,0,22.56413611,120.425311,#FF0000
測站51,未知,0,0,22.4795,120.41175,#FF0000
測站52,未知,0,0,22.733667,120.328289,#FF0000
測站53,未知,0,0,22.674861,120.292917,#FF0000
測站54,未知,0,0,22.63390278,120.28676111,#FF0000
測站55,未知,0,0,22.6044507,120.30833356,#FF0000
測站56,未知,0,0,22.565833,120.337736,#FF0000
測站57,未知,0,0,22.673081,120.488033,#FF0000
測站58,未知,0,0,22.523108,120.561175,#FF0000
測站59,未知,0,0,21.958069,120.788928,#00E400
測站60,未知,0,0,22.755358,121.15045,#00E400
測站61,未知,0,0,23.971306,121.599769,#00E400
測站62,未知,0,0,25.182722,121.529583,#00E400
測站63,未知,0,0,24.747917,121.746394,#00E400
測站64,未知,0,0,24.632203,121.792928,#00E400
測站65,未知,0,0,25.072611,121.493806,#FFFF00
測站66,未知,0,0,24.953278,121.221667,#00E400
測站67,未知,0,0,23.756389,120.677306,#FFFF00
測站68,未知,0,0,25.017,121.516306,#00E400
測站69,未知,0,0,22.608711,120.312017,#FF0000
測站70,未知,0,0,23.968842,120.967903,#FFFF00
測站71,未知,0,0,26.153736,119.952724,#00E400
測站72,未知,0,0,24.432133,118.312256,#FFFF00
測站73,未知,0,0,23.569031,119.566158,#00E400
測站74,未知,0,0,23.045083,121.161933,#00E400
測站75,未知,0,0,23.753506,120.251825,#FFFF00
測站76,未知,0,0,25.29681695,121.53656894,#00E400
測站77,未知,0,0,23.85493056,120.26964167,#00E400
測站78,未知,0,0,24.1589,120.6567111,#FFFF00
測站79,未知,0,0,23.9615945,120.5631893,#FFFF00
測站80,未知,0,0,22.98522502,120.22216042,#FFFF00
測站81,未知,0,0,23.71867609,120.7944772,#FFFF00
測站82,未知,0,0,22.35222,120.37722,#FF0000
測站83,未知,0,0,24.94902778,121.38352778,#FFFF00
測站84,未知,0,0,22.260899,120.651472,#FFFF00
測站85,未知,0,0,23.51301,120.44452,#FFFF00
