設施類型,總數,室內數,戶外數,室內比例,戶外比例,分佈縣市數
活動中心,2006,1966,40,98.0%,2.0%,295
國小,1467,1347,120,91.8%,8.2%,269
國中,384,353,31,91.9%,8.1%,191
小學,374,308,66,82.4%,17.6%,88
其他設施,368,357,11,97.0%,3.0%,190
公園,212,0,212,0.0%,100.0%,56
集會所,170,169,1,99.4%,0.6%,37
公所,158,150,8,94.9%,5.1%,155
中學,157,144,13,91.7%,8.3%,75
宮廟,137,130,7,94.9%,5.1%,77
高中,96,90,6,93.8%,6.2%,69
其他中心,70,70,0,100.0%,0.0%,66
寺廟,70,68,2,97.1%,2.9%,43
辦公處,63,63,0,100.0%,0.0%,24
教會,45,45,0,100.0%,0.0%,21
大學,38,36,2,94.7%,5.3%,28
體育館,20,19,1,95.0%,5.0%,19
圖書館,20,20,0,100.0%,0.0%,20
其他學校,17,16,1,94.1%,5.9%,16
市場,10,10,0,100.0%,0.0%,10
廣場,7,0,7,0.0%,100.0%,4
服務中心,6,6,0,100.0%,0.0%,6
禮堂,4,3,1,75.0%,25.0%,4
運動場,3,0,3,0.0%,100.0%,2
警察,1,1,0,100.0%,0.0%,1
教堂,1,1,0,100.0%,0.0%,1
消防,1,1,0,100.0%,0.0%,1
文化中心,1,1,0,100.0%,0.0%,1
福利中心,1,1,0,100.0%,0.0%,1
綠地,1,0,1,0.0%,100.0%,1
學院,1,1,0,100.0%,0.0%,1
