縣市及鄉鎮市區,總數,室內數,戶外數,室內比例,戶外比例
南投縣中寮鄉,21,21,0,100.0,0.0
南投縣仁愛鄉,29,29,0,100.0,0.0
南投縣信義鄉,37,37,0,100.0,0.0
南投縣南投市,37,37,0,100.0,0.0
南投縣名間鄉,26,26,0,100.0,0.0
南投縣國姓鄉,29,29,0,100.0,0.0
南投縣埔里鎮,39,39,0,100.0,0.0
南投縣水里鄉,25,25,0,100.0,0.0
南投縣竹山鎮,46,46,0,100.0,0.0
南投縣草屯鎮,55,53,2,96.4,3.6
南投縣集集鎮,3,3,0,100.0,0.0
南投縣魚池鄉,22,21,1,95.5,4.5
南投縣鹿谷鄉,16,16,0,100.0,0.0
嘉義市東區,23,22,1,95.7,4.3
嘉義市西區,24,23,1,95.8,4.2
嘉義縣中埔鄉,42,41,1,97.6,2.4
嘉義縣六腳鄉,16,16,0,100.0,0.0
嘉義縣大埔鄉,14,12,2,85.7,14.3
嘉義縣大林鎮,11,10,1,90.9,9.1
嘉義縣太保市,24,24,0,100.0,0.0
嘉義縣布袋鎮,19,19,0,100.0,0.0
嘉義縣新港鄉,20,20,0,100.0,0.0
嘉義縣朴子市,15,15,0,100.0,0.0
嘉義縣東石鄉,23,22,1,95.7,4.3
嘉義縣梅山鄉,15,15,0,100.0,0.0
嘉義縣民雄鄉,49,46,3,93.9,6.1
嘉義縣水上鄉,17,17,0,100.0,0.0
嘉義縣溪口鄉,10,10,0,100.0,0.0
嘉義縣番路鄉,22,22,0,100.0,0.0
嘉義縣竹崎鄉,43,43,0,100.0,0.0
嘉義縣義竹鄉,14,14,0,100.0,0.0
嘉義縣阿里山鄉,14,14,0,100.0,0.0
嘉義縣鹿草鄉,12,12,0,100.0,0.0
基隆市七堵區,22,22,0,100.0,0.0
基隆市中山區,31,30,1,96.8,3.2
基隆市中正區,26,25,1,96.2,3.8
基隆市仁愛區,25,25,0,100.0,0.0
基隆市信義區,17,17,0,100.0,0.0
基隆市安樂區,18,18,0,100.0,0.0
基隆市暖暖區,13,13,0,100.0,0.0
宜蘭縣三星鄉,14,14,0,100.0,0.0
宜蘭縣五結鄉,17,17,0,100.0,0.0
宜蘭縣冬山鄉,23,23,0,100.0,0.0
宜蘭縣南澳鄉,14,14,0,100.0,0.0
宜蘭縣員山鄉,17,17,0,100.0,0.0
宜蘭縣壯圍鄉,16,16,0,100.0,0.0
宜蘭縣大同鄉,8,8,0,100.0,0.0
宜蘭縣宜蘭市,40,40,0,100.0,0.0
宜蘭縣礁溪鄉,15,15,0,100.0,0.0
宜蘭縣羅東鎮,24,20,4,83.3,16.7
宜蘭縣蘇澳鎮,37,37,0,100.0,0.0
宜蘭縣頭城鎮,23,22,1,95.7,4.3
