測站名稱,所在地,AQI數值,經度,緯度,距離台北車站(公里),空氣品質等級
萬華,臺北市,31,121.507972,25.046503,0.92,良好
大同,臺北市,53,121.51342074,25.06331455,1.77,普通
中山,臺北市,41,121.526528,25.062361,1.89,良好
古亭,臺北市,33,121.529556,25.020608,3.28,良好
永和,新北市,32,121.516306,25.017,3.43,良好
三重,新北市,57,121.493806,25.072611,3.62,普通
菜寮,新北市,35,121.481028,25.06895,4.33,良好
士林,臺北市,28,121.51666356,25.10334003,6.19,良好
松山,臺北市,38,121.578611,25.05,6.22,良好
板橋,新北市,35,121.458667,25.012972,7.05,良好
新店,新北市,37,121.537778,24.977222,8.14,良好
新莊,新北市,38,121.4325,25.037972,8.6,良好
土城,新北市,31,121.451861,24.982528,9.81,良好
汐止,新北市,31,121.64081,25.06624,12.66,良好
淡水,新北市,34,121.449239,25.1645,14.69,良好
陽明,臺北市,38,121.529583,25.182722,15.1,良好
林口,新北市,32,121.36548982,25.07798949,15.65,良好
新北（樹林）,新北市,51,121.38352778,24.94902778,17.41,普通
桃園,桃園市,43,121.30500531,24.9947107,22.2,良好
基隆,基隆市,36,121.760056,25.129167,26.15,良好
富貴角,新北市,43,121.53656894,25.29681695,27.83,良好
中壢,桃園市,46,121.221667,24.953278,31.63,良好
大園,桃園市,31,121.20251473,25.06100357,31.76,良好
平鎮,桃園市,56,121.203986,24.952786,33.33,普通
龍潭,桃園市,34,121.21645772,24.86400048,36.63,良好
宜蘭,宜蘭縣,31,121.746394,24.747917,40.66,良好
觀音,桃園市,32,121.08283092,25.03556747,43.83,良好
湖口,新竹縣,30,121.03886894,24.90009696,51.01,良好
冬山,宜蘭縣,33,121.792928,24.632203,54.06,良好
竹東,新竹縣,27,121.08895493,24.74091408,55.16,良好
新竹,新竹市,29,120.97236752,24.8056356,61.29,良好
頭份,苗栗縣,28,120.89869286,24.69690679,73.73,良好
苗栗,苗栗縣,27,120.82011468,24.56499183,88.67,良好
三義,苗栗縣,25,120.75956754,24.38248443,106.66,良好
豐原,臺中市,36,120.74252414,24.25699731,117.99,良好
花蓮,花蓮縣,34,121.599769,23.971306,120.31,良好
臺灣大道,臺中市,61,120.6567111,24.1589,131.96,普通
埔里,南投縣,82,120.967903,23.968842,132.56,普通
沙鹿,臺中市,38,120.568794,24.225628,132.73,良好
忠明,臺中市,51,120.641092,24.151958,133.59,普通
西屯,臺中市,42,120.616917,24.162197,134.38,良好
大里,臺中市,62,120.67844444,24.09961111,135.62,普通
線西,彰化縣,49,120.469061,24.131672,147.29,良好
彰化,彰化縣,55,120.541519,24.066,147.47,普通
南投,南投縣,77,120.685306,23.913,152.04,普通
員林,彰化縣,67,120.5631893,23.9615945,154.95,普通
南投（鹿谷）,南投縣,73,120.7944772,23.71867609,165.34,普通
竹山,南投縣,91,120.677306,23.756389,167.29,普通
二林,彰化縣,94,120.409653,23.925175,168.11,普通
斗六,雲林縣,101,120.544994,23.711853,178.63,不健康
大城,彰化縣,33,120.26964167,23.85493056,183.51,良好
崙背,雲林縣,57,120.348742,23.757547,186.36,普通
麥寮,雲林縣,51,120.251825,23.753506,193.09,普通
馬祖,連江縣,43,119.952724,26.153736,199.77,良好
臺西,雲林縣,42,120.19933333,23.702175,200.92,良好
嘉義（東區）,嘉義市,78,120.44452,23.51301,202.82,普通
新港,嘉義縣,64,120.345531,23.554839,204.56,普通
嘉義,嘉義市,91,120.44125148,23.46477865,207.56,普通
朴子,嘉義縣,54,120.2478,23.46538,218.47,普通
關山,臺東縣,26,121.161933,23.045083,226.22,良好
新營,臺南市,69,120.31725,23.305633,229.31,普通
善化,臺南市,83,120.29740529,23.11337642,248.78,普通
馬公,澎湖縣,34,119.566158,23.569031,257.6,良好
臺東,臺東縣,33,121.15045,22.755358,258.34,良好
安南,臺南市,94,120.2175,23.048197,259.16,普通
美濃,高雄市,88,120.530542,22.883583,261.36,普通
臺南,臺南市,78,120.21947897,22.98928311,264.75,普通
林森,臺南市,89,120.22216042,22.98522502,265.01,普通
橋頭,高雄市,116,120.305689,22.757506,283.58,不健康
屏東,屏東縣,102,120.488033,22.673081,284.77,不健康
楠梓,高雄市,114,120.328289,22.733667,285.0,不健康
仁武,高雄市,119,120.332631,22.689056,289.33,不健康
左營,高雄市,108,120.292917,22.674861,292.47,不健康
鳳山,高雄市,115,120.357422,22.628126,294.51,不健康
前金,高雄市,107,120.28676111,22.63390278,296.88,不健康
潮州,屏東縣,104,120.561175,22.523108,297.89,不健康
復興,高雄市,116,120.312017,22.608711,298.37,不健康
大寮,高雄市,113,120.425311,22.56413611,298.43,不健康
前鎮,高雄市,111,120.30833356,22.6044507,298.96,不健康
小港,高雄市,121,120.337736,22.565833,301.69,不健康
林園,高雄市,122,120.41175,22.4795,307.73,不健康
屏東（琉球）,屏東縣,118,120.37722,22.35222,322.25,不健康
屏東（枋山）,屏東縣,59,120.651472,22.260899,323.06,普通
金門,金門縣,79,118.312256,24.432133,331.41,普通
恆春,屏東縣,25,120.788928,21.958069,352.47,良好
