序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,geometry,index_right,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,distance_to_taiwan,location_category
17,桃園市新屋區,石牌里,東興路二段568號,121.051297,26.0,石牌社區活動中心,石牌里,50,"水災,震災",江紘,4778168,是,否,是,POINT (121.051297 26),,,,,,,,,244.2663735764648,海外遠距
79,新竹縣湖口鄉,信勢村,成功路360號,121.0376,21.9002,湖口鄉信勢國小禮堂,信勢村、德盛村、波羅村,385,"震災,土石流,海嘯",林志華,03-5993911,是,否,是,POINT (121.0376 21.9002),,,,,,,,,210.91909697749028,海外遠距
3246,臺中市大肚區,社腳里,沙田路一段364號,120.34069,24.07197,追分國小多功能教室,該收容處所亦有附屬空地可供使用﹝面積6974平方公尺﹞,100,"水災,土石流,海嘯",賴如足,04-26932604,是,否,是,POINT (120.34069 24.07197),,,,,,,,,79.16544255921947,海外遠距
3413,臺中市東區,泉源里,樂業路60號,120.194202,24.138354,臺中市東區樂業國小,泉源、旱溪、樂成.,450,"水災,震災",張添琦,04-22121293,是,是,否,POINT (120.194202 24.138354),,,,,,,,,97.00878299434764,海外遠距
3735,臺中市石岡區,土牛里,石岡區土牛里德成巷1之2號,120.0892,24.2655,土牛活動中心,土牛,40,"水災,震災",黃三榮,04-25818635,是,否,是,POINT (120.0892 24.2655),,,,,,,,,113.537693880446,海外遠距
3761,臺中市霧峰區,峰谷里,峰谷路496號,120.4318,24.279,峰谷國小南棟教室,峰谷,900,"水災,震災,土石流",陳世穎-洪英恆,04-23399271,是,是,是,POINT (120.4318 24.279),,,,,,,,,82.49116733954038,海外遠距
4151,南投縣草屯鎮,新豐里,番子田路100號,120.000836,24.676621,新豐社區活動中心,新豐里,80,"水災,震災",林資湖理事長,049-2362158,是,否,否,POINT (120.000836 24.676621),,,,,,,,,147.54205331366447,海外遠距
4265,新竹縣竹東鎮,仁愛里,大同路257號,121.891,24.7328,中山社區活動中心,雞林里、中山里,93,"水災,土石流,海嘯",何佳紋,03-5966177＃206,是,否,是,POINT (121.891 24.7328),,,,,,,,,143.18556165214468,海外遠距
4532,新竹縣新豐鄉,松林村,康樂路一段516號,120.5854,24.8756,松林社區活動中心,松林村松柏村,60,"水災,震災,土石流",徐茂淦,35597912,是,否,是,POINT (120.5854 24.8756),,,,,,,,,127.95409245084689,海外遠距
4620,臺中市霧峰區,北柳里,霧峰區北柳里國中路110號,120.4141,24.917,霧峰國中行政大樓地下室,北柳,175,"水災,震災,土石流",郭志強--林芝萍,04-23393175#230,是,是,是,POINT (120.4141 24.917),,,,,,,,,140.0082654239026,海外遠距
4621,臺中市霧峰區,本堂里,中正路736號,120.41411,24.917,霧峰國小志文樓地下室,本堂、中正,800,"水災,震災",吳佳容,04-23393069#731,是,是,是,POINT (120.41411 24.917),,,,,,,,,140.00774982394444,海外遠距
4622,臺中市霧峰區,北柳里,國中路110號,120.41411,24.917,霧峰國中行政大樓地下室,北柳,1381,"震災,土石流",謝龍卿-葉美蕙,04-23393175#230,是,是,是,POINT (120.41411 24.917),,,,,,,,,140.00774982394444,海外遠距
5030,彰化縣彰化市,忠孝里,辭修路200號,120.0,25.0,忠孝國小,西勢里萬壽里長樂里忠孝里忠權里五權里西興里,703,"水災,震災,土石流,海嘯",楊娣雅,04-72221411710,否,否,否,POINT (120 25),,,,,,,,,173.38754280512768,海外遠距
5031,臺北市士林區,蘭雅里,中山北路六段392號,121.0,25.0,士東國小,蘭雅里,63,,吳志豪,02-28710064,否,否,否,POINT (121 25),,,,,,,,,133.19999999999993,海外遠距
