序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,geometry,precise_location,distance_to_mainland,distance_to_nearest_land,nearest_land_type
3082,屏東縣滿州鄉,里德村,山頂路57號隔壁,118.0,24.0,里德社區活動中心,里德村,60,"水災,土石流,海嘯",宋仁宗,08-8801358,是,否,是,POINT (118 24),sea,333.7391795998785,44.39999999999984,island_金門
3752,金門縣金沙鎮,大洋里,大洋里東山22號,118.271,24.274,金沙鎮大洋里辦公處,金門縣金沙鎮大洋里,30,"水災,震災,土石流",吳有泰,082-335089,是,否,否,POINT (118.271 24.274),sea,307.4543113325945,13.985999999999741,island_金門
3762,金門縣金沙鎮,何斗里,何斗里斗門55-3號,118.24,24.282,金沙鎮何斗里辦公處,金門縣金沙鎮何斗里,80,"水災,震災,土石流,海嘯",陳金德,082-351872,是,否,否,POINT (118.24 24.282),sea,310.9966456475059,13.097999999999839,island_金門
3763,金門縣金沙鎮,三山里,三山里碧山58-1號,118.245,24.282,金沙鎮三山里辦公處,金門縣金沙鎮三山里,30,"水災,震災,土石流",陳賜發,082-351840,是,否,否,POINT (118.245 24.282),sea,310.4499348188041,13.097999999999839,island_金門
3764,金門縣金沙鎮,浦山里,浦山里浦邊4-3號,118.232,24.284,金沙鎮浦山里辦公處,金門縣金沙鎮浦山里,30,"水災,震災,土石流",周家才,082-352848,是,否,否,POINT (118.232 24.284),sea,311.9096049819563,12.875999999999962,island_金門
3765,金門縣金沙鎮,光前里,光前里陽翟96-5號,118.253,24.284,金沙鎮光前里辦公處,金門縣金沙鎮光前里,80,"水災,震災,土石流",翁麗治,082-353833,是,否,否,POINT (118.253 24.284),sea,309.61370296710055,12.875999999999962,island_金門
3769,金門縣金沙鎮,汶沙里,汶沙里國中路1-1號,118.245,24.291,金沙鎮汶沙里辦公處,金門縣金沙鎮汶沙里,30,"水災,震災,土石流",張瀚龍,082-352556,是,否,否,POINT (118.245 24.291),sea,310.6236581878458,12.098999999999801,island_金門
3779,金門縣金沙鎮,西園里,西園里西園1-3號,118.242,24.303,金沙鎮西園里辦公處,金門縣金沙鎮西園里,30,"水災,震災,土石流",黃木林,082-354628,否,否,否,POINT (118.242 24.303),sea,311.1877229792328,10.76699999999975,island_金門
3794,金門縣金沙鎮,官嶼里,官嶼里官澳82-2號,118.245,24.311,金沙鎮官嶼里辦公處,金門縣金沙鎮官嶼里,30,"水災,震災,土石流",楊恭勤,082-351715,是,否,否,POINT (118.245 24.311),sea,311.02085117560796,9.878999999999849,island_金門
4029,宜蘭縣蘇澳鎮,岳明里,岳明新村91號,121.8502,24.6122,岳明社區活動中心,港邊里,40,"水災,震災,土石流",林玉明,02-29287551,是,否,是,POINT (121.8502 24.6122),sea,130.513952934083,6.4370094622603204,mainland
4034,宜蘭縣蘇澳鎮,港邊里,嶺腳路140號,121.8531,24.6135,岳明國小,港邊里,63,"水災,震災,土石流,海嘯",黃建榮,03-9903044,是,是,是,POINT (121.8531 24.6135),sea,130.8464431196351,6.748540470717688,mainland
4040,宜蘭縣蘇澳鎮,隘丁里,城中路40號,121.837,24.6158,隘丁社區活動中心,隘丁里,47,"震災,土石流,海嘯",李福全,03-9903951,是,否,是,POINT (121.837 24.6158),sea,129.7370469196831,5.8528888214018835,mainland
4044,宜蘭縣蘇澳鎮,永榮里,新馬路2號,121.8328,24.6179,文化國中,永榮里、隘丁里,61,"水災,震災,土石流,海嘯",林琦瑄,03-9903060,是,是,是,POINT (121.8328 24.6179),sea,129.56682722151564,5.750667709251715,mainland
4046,宜蘭縣蘇澳鎮,新城里,慶安路1號,121.8272,24.6204,慶安廟活動中心,新城里,42,"水災,震災,土石流,海嘯",蕭旺德,03-9903816,是,否,是,POINT (121.8272 24.6204),sea,129.31933512046868,5.588087464212808,mainland
4048,宜蘭縣蘇澳鎮,永榮里,和平路51號,121.8362,24.6212,永榮社區活動中心,永榮里,78,"水災,震災,土石流,海嘯",陳旺德,03-9906581,是,否,是,POINT (121.8362 24.6212),sea,130.09275199441407,6.271508614017394,mainland
4049,宜蘭縣蘇澳鎮,永榮里,大同路108號,121.8349,24.6219,馬賽國小,永榮里、新城里,63,"水災,震災,土石流,海嘯",盧聰賢,03-9902694,是,是,是,POINT (121.8349 24.6219),sea,130.0443341942281,6.244249650777153,mainland
4050,宜蘭縣蘇澳鎮,頂寮里,頂寮路2號,121.838037,24.623428,頂寮文教活動中心,頂寮里,170,"水災,震災,土石流",蘇長盛,03-9901786,是,是,是,POINT (121.838037 24.623428),sea,130.41152270170574,6.591908520871829,mainland
4053,宜蘭縣蘇澳鎮,永榮里,思村路9號,121.832,24.6249,福德社區活動中心,永榮里,60,"震災,土石流",林森豪,03-9908208,是,否,是,POINT (121.832 24.6249),sea,130.04937403620926,6.309476455672277,mainland
4056,宜蘭縣蘇澳鎮,存仁里,存仁路199之1號,121.8419,24.6262,存仁社區活動中心,存仁里,55,土石流,許金鴻,03-9901977,是,是,是,POINT (121.8419 24.6262),sea,130.93305410800554,7.098039320831396,mainland
4075,宜蘭縣蘇澳鎮,龍德里,福德路134號,121.833,24.6402,育英國小,龍德里,80,"水災,震災,土石流",李明怡,03-9901294,是,是,是,POINT (121.833 24.6402),sea,131.3287642439384,7.718180734542966,mainland
4079,宜蘭縣冬山鄉,三奇村,成興路812號,121.814,24.6435,三奇社區活動中心,三奇村,40,震災,謝見忠,03-9591532,是,否,是,POINT (121.814 24.6435),sea,130.11587654183415,6.712519697864544,mainland
4080,宜蘭縣冬山鄉,補城村,建進2路29號,121.8023,24.6436,補城社區活動中心,補城村,41,震災,陳振仁,03-9509029,是,否,否,POINT (121.8023 24.6436),sea,129.22546632243206,5.923956832706214,mainland
4082,宜蘭縣五結鄉,成興村,蘇澳鎮頂寮路20巷2號,121.8327,24.6447,成興社區老人活動中心,成興村,121,"水災,震災",張添祥,03-9501752,是,否,是,POINT (121.8327 24.6447),sea,131.66057051744855,8.092017944692701,mainland
4091,宜蘭縣五結鄉,成興村,利成路一段185號,121.8263,24.6532,成興村老人福利中心,成興村、利澤村、季新村,539,"水災,震災",張金發,03-9502182,是,否,是,POINT (121.8263 24.6532),sea,131.8389354459828,8.40062834994614,mainland
4107,宜蘭縣冬山鄉,武淵村,富農路2段325號,121.7976,24.6606,武淵社區活動中心,武淵村,108,震災,林新來,03-9507347,是,否,是,POINT (121.7976 24.6606),sea,130.24411555429293,7.093171648824589,mainland
4115,宜蘭縣五結鄉,利澤村,下福路156號,121.8238,24.6649,利澤社區活動中心,利澤村,141,"水災,震災",陳朝彬,03-9503031,是,否,是,POINT (121.8238 24.6649),sea,132.5833760410787,9.25539155440265,mainland
4120,宜蘭縣羅東鎮,,羅東鎮新群里月眉路300號,121.7922,24.6673,新群社區活動中心,新群里,114,震災,李淑芬,03-9506763張文哲,是,否,是,POINT (121.7922 24.6673),sea,130.38555975156868,7.312216889146117,mainland
4121,宜蘭縣冬山鄉,群英村,冬山路5段51號,121.7735,24.6674,群英社區活動中心,群英村,64,震災,黃泰齡,03-9582580,是,否,是,POINT (121.7735 24.6674),sea,129.0030620109847,6.046622167286364,mainland
4127,宜蘭縣羅東鎮,南昌里,站前南路1號,121.7725,24.669,第三公園管理站南昌社區活動中心,南昌里 南豪里 成功里,133,"水災,震災,海嘯",林丞溱,03-9541185,是,否,是,POINT (121.7725 24.669),sea,129.06189382327332,6.1186637129919035,mainland
4129,宜蘭縣羅東鎮,,興東南路100號,121.7687,24.6707,成功國小體育館,南昌里 成功里 南豪里 羅莊里 新群里,228,,魏碧卿,03-9542156128,否,否,否,POINT (121.7687 24.6707),sea,128.92343850433053,6.0086543256303075,mainland
4132,宜蘭縣羅東鎮,羅莊里,羅莊街357號,121.7797,24.6716,羅莊社區活動中心,羅莊里,122,"水災,震災,海嘯",賴雲木,03-9506616,是,否,是,POINT (121.7797 24.6716),sea,129.8092037825135,6.837132101248719,mainland
4133,宜蘭縣羅東鎮,開明里,清潭路146號2樓,121.7709,24.6725,阿束社社區活動中心,開明里,28,"水災,震災,海嘯",莊添鐘,03-9542525,是,否,是,POINT (121.7709 24.6725),sea,129.23484840498682,6.3162911964825215,mainland
4134,宜蘭縣羅東鎮,開明里,清潭路146號2樓,121.7709,24.6725,仁和社區活動中心,仁和里,28,"水災,震災,海嘯",陳圳茂,03-9565033,是,否,是,POINT (121.7709 24.6725),sea,129.23484840498682,6.3162911964825215,mainland
4136,宜蘭縣羅東鎮,集祥里,公園路13號,121.7682,24.6733,第二公園管理站羅東鎮老人館,集祥里,99,"水災,震災,海嘯",林姿妙,03-9545102,是,否,是,POINT (121.7682 24.6733),sea,129.1032658987753,6.2023876715149715,mainland
4137,宜蘭縣羅東鎮,,羅東鎮忠義巷92之1號,121.7663,24.6736,仁德社區活動中心,仁德里,98,"水災,震災,海嘯",林啟東,03-9546412,是,否,是,POINT (121.7663 24.6736),sea,128.9890996970287,6.099193024963781,mainland
4138,宜蘭縣羅東鎮,,羅東鎮漢民里純精路一段219號,121.7635,24.6737,漢民社區活動中心,漢民里,201,"水災,震災,海嘯",蔡德昌,03-9563167,是,否,是,POINT (121.7635 24.6737),sea,128.7927188343342,5.917142091895683,mainland
4139,宜蘭縣羅東鎮,,羅東鎮東安里天祥路171號,121.7766,24.6745,東安社區活動中心,東安里,289,"水災,震災,海嘯",李錫欽,03-9569985,是,否,是,POINT (121.7766 24.6745),sea,129.8205533689099,6.879967614911155,mainland
4142,宜蘭縣羅東鎮,,北成路一段125號,121.7586,24.6756,北成國小自強館,北成里 維揚里 西安里,319,,鍾月秋,03-9512626,否,否,否,POINT (121.7586 24.6756),sea,128.5947968298873,5.749694174850052,mainland
4144,宜蘭縣羅東鎮,,忠孝路48號,121.7649,24.676,聖安宮,本鎮災害發生區域之鎮民提供災民住宿,400,"水災,震災,海嘯",謝義光,03-9544021/9541715,是,否,是,POINT (121.7649 24.676),sea,129.08722605746047,6.214070084332179,mainland
4145,宜蘭縣羅東鎮,大新里,中正路128號2樓,121.7714,24.676,大新社區活動中心,大新里,54,"水災,震災,海嘯",郭月嬌,9543906,是,否,是,POINT (121.7714 24.676),sea,129.56291452865648,6.657028236983371,mainland
4149,宜蘭縣羅東鎮,,羅東鎮中興路1號,121.7669,24.6765,羅東鎮展演廳,中山里、賢文里,510,"水災,震災,海嘯",林姿妙,03-9545102轉253,是,否,是,POINT (121.7669 24.6765),sea,129.27511292998406,6.394173948597744,mainland
4150,宜蘭縣五結鄉,季新村,季新村季水路北巷6-1號,121.8317,24.6766,季新社區活動中心,季新村,110,"水災,震災",張文政,03-9370451,是,否,否,POINT (121.8317 24.6766),sea,134.12881247684984,10.81888780310008,mainland
4152,宜蘭縣羅東鎮,,國華街101號,121.7608,24.6767,國華國中自強館,仁德里 國華里 漢民里,306,,游贊薰,03-513062303,否,否,否,POINT (121.7608 24.6767),sea,128.84702568988564,5.995998378412256,mainland
4153,宜蘭縣羅東鎮,北成里,北成路二段57巷6號,121.7527,24.6789,北成社區活動中心,北成里 國華里,210,"水災,震災,海嘯",張鐸川,03-9611090,是,否,是,POINT (121.7527 24.6789),sea,128.44491512901567,5.636764184284235,mainland
4155,宜蘭縣羅東鎮,,公正路199號,121.7667,24.6793,公正國小體育館,大新里 賢文里 仁和里 中山里 開明里,1309,,林勇志,03-9566659,是,是,否,POINT (121.7667 24.6793),sea,129.49458953554785,6.625875136137868,mainland
4156,宜蘭縣五結鄉,季新村,新店路99號,121.8178,24.6797,新店社區活動中心,季新村,77,"水災,震災",張文政,03-9370451,是,否,是,POINT (121.8178 24.6797),sea,133.32338086971131,10.143254928507615,mainland
4161,宜蘭縣羅東鎮,,中華路99號,121.7683,24.6825,羅東國中自強館,信義里 公正里 東安里 集祥里,277,,陳俊宏,03-9542075,否,否,否,POINT (121.7683 24.6825),sea,129.8790665809542,7.015288896709901,mainland
4163,宜蘭縣羅東鎮,樹林里,文林路130號,121.7614,24.6833,第五公園管理站樹林社區活動中心,樹林里,146,震災,黃再興,9540605,是,否,是,POINT (121.7614 24.6833),sea,129.44469777032145,6.615166257721567,mainland
4164,宜蘭縣羅東鎮,信義里,中華路189號,121.7686,24.6835,第一公園管理站信義社區活動中心,信義里 公正里,153,震災,盧業聲,03-9550025,是,否,是,POINT (121.7686 24.6835),sea,129.98465934644008,7.123351215269201,mainland
4170,宜蘭縣五結鄉,五結村,五結路二段343號,121.7984,24.6847,五結鄉公所,五結村,153,"水災,震災",簡松樹,03-9501115,是,否,是,POINT (121.7984 24.6847),sea,132.27812995597566,9.259285692008062,mainland
4172,宜蘭縣五結鄉,五結村,五結中路12號3樓,121.7979,24.6852,五結社區活動中心,五結,84,"水災,震災",洪銘鎮,03-9602799,是,否,是,POINT (121.7979 24.6852),sea,132.28217237197882,9.26902103602211,mainland
4177,宜蘭縣五結鄉,福興村,興盛北路182巷16號,121.7798,24.6865,正勉堂,福興村,154,"水災,震災",廖明國,03-9505792,是,否,否,POINT (121.7798 24.6865),sea,131.05383604873933,8.149456474376459,mainland
4183,宜蘭縣五結鄉,四結村,光榮北路198號,121.7739,24.6873,四結社區活動中心,上四、四結、中興村,93,"水災,震災",陳鋕淮,03-9550146,是,否,是,POINT (121.7739 24.6873),sea,130.6891251118468,7.817481243488915,mainland
4186,宜蘭縣羅東鎮,竹林里,復興路二段122號,121.7658,24.6883,竹林社區活動中心,竹林里,148,"水災,震災,海嘯",黃德勝,03-9563328,是,否,是,POINT (121.7658 24.6883),sea,130.183955909052,7.353105334006608,mainland
4187,宜蘭縣五結鄉,協和村,五結路2段199號,121.8045,24.6883,協和社區活動中心,協和村,161,"水災,震災",謝錫琴,03-9506695,是,否,是,POINT (121.8045 24.6883),sea,133.02863248917546,9.990410027483026,mainland
4188,宜蘭縣羅東鎮,,復興路二段128號,121.7661,24.6887,竹林國小體育館,竹林里 仁愛里 樹林里,357,震災,盧紹彬,03-954208433,是,是,是,POINT (121.7661 24.6887),sea,130.23932779656033,7.4085967948877975,mainland
4201,宜蘭縣五結鄉,錦眾村,五結路一段120號,121.828,24.6929,八大庄一百甲城煌廟,錦眾村,51,"水災,震災",林錫金,03-9503065,是,否,是,POINT (121.828 24.6929),sea,135.1674856820607,11.99491736002894,mainland
4211,宜蘭縣五結鄉,孝威村,孝威路322號,121.8117,24.6961,孝威社區活動中心,孝威村,168,"水災,震災",吳明吉,03-9504299,是,否,是,POINT (121.8117 24.6961),sea,134.2068542366598,11.164492515608371,mainland
