序號,縣市及鄉鎮市區,村里,避難收容處所地址,經度,緯度,避難收容處所名稱,預計收容村里,預計收容人數,適用災害類別,管理人姓名,管理人電話,室內,室外,適合避難弱者安置,geometry,index_right,TOWNID,TOWNCODE,COUNTYNAME,TOWNNAME,TOWNENG,COUNTYID,COUNTYCODE,distance_to_taiwan,location_category
17,桃園市新屋區,石牌里,東興路二段568號,121.051297,26.0,石牌社區活動中心,石牌里,50,"水災,震災",江紘,4778168,是,否,是,POINT (121.051297 26),,,,,,,,,244.26637357646482,海外遠距
79,新竹縣湖口鄉,信勢村,成功路360號,121.0376,21.9002,湖口鄉信勢國小禮堂,信勢村、德盛村、波羅村,385,"震災,土石流,海嘯",林志華,03-5993911,是,否,是,POINT (121.0376 21.9002),,,,,,,,,210.91909697749028,海外遠距
89,臺東縣蘭嶼鄉,紅頭村,臺東縣蘭嶼鄉紅頭村1-1號,121.5546,22.0211,舊蘭嶼國小,紅頭村,100,"水災,土石流,海嘯",周孋珠,（089）731633,是,否,否,POINT (121.5546 22.0211),,,,,,,,,206.83164589774438,蘭嶼
94,臺東縣蘭嶼鄉,紅頭村,1號 之1,121.5266,22.0302,蘭嶼國民小學,蘭嶼國小附近住戶,100,"水災,震災,土石流,海嘯",許淑貞,（089）731576,是,否,是,POINT (121.5266 22.0302),,,,,,,,,204.95961692879897,蘭嶼
133,臺東縣卑南鄉,東興村,東興村東園一街40號,121.016385,22.301654,大南國民小學,東興村,50,,李玉如,089-382402,否,否,否,POINT (121.016385 22.301654),,,,,,,,,166.3263499922881,蘭嶼
160,屏東縣屏東市,永安里,建興南路35號,120.2857,22.3931,屏東市復興公園,永安里,1067,,黃祥生,7560101#502,否,是,否,POINT (120.2857 22.3931),,,,,,,,,175.14069848010743,綠島
161,屏東縣屏東市,崇武里,建國路25號,120.2912,22.3948,國立屏東高級工業職業學校,永安里2,2523,"水災,震災",張明誌,08-7523781#200,是,是,否,POINT (120.2912 22.3948),,,,,,,,,174.69666790777654,綠島
163,屏東縣屏東市,豐榮里,自由、大連、廣東、勝利東路廓內,120.2952,22.4044,屏東市千禧公園,豐榮里,1734,"水災,震災",蔡育霖,7560101#503,否,是,否,POINT (120.2952 22.4044),,,,,,,,,173.54531053992835,綠島
166,屏東縣屏東市,廣興里,監理站對面,120.2915,22.413,屏東市廣興公園,廣興里,755,"水災,震災",蔡育霖,7560101#503,否,是,否,POINT (120.2915 22.413),,,,,,,,,172.88018377260602,綠島
551,臺東縣綠島鄉,公?村,公?5鄰1號,121.4807,22.6777,公館社區活動中心,公館村,30,"水災,震災,土石流",鄭志雄,089-672517,是,否,是,POINT (121.4807 22.6777),,,,,,,,,135.52139875082446,蘭嶼
